,precision,recall,f1-score,support
abnormal,0.9977876106194691,0.9955849889624724,0.9966850828729282,453.0
normal,0.9901960784313726,0.9950738916256158,0.9926289926289926,203.0
accuracy,0.9954268292682927,0.9954268292682927,0.9954268292682927,0.9954268292682927
macro avg,0.9939918445254208,0.995329440294044,0.9946570377509605,656.0
weighted avg,0.9954384017258966,0.9954268292682927,0.9954299208004908,656.0
