accuracy,loss,val_accuracy,val_loss
0.7093837261199951,0.7100453972816467,0.6916030645370483,0.558544933795929
0.8263305425643921,0.41556960344314575,0.7984732985496521,0.461005836725235
0.9268207550048828,0.21722327172756195,0.914503812789917,0.29487669467926025
0.9553571343421936,0.13928647339344025,0.9282442927360535,0.20246799290180206
0.9672619104385376,0.10876315087080002,0.9404579997062683,0.17292667925357819
0.9719887971878052,0.1008966788649559,0.9389312863349915,0.1566874086856842
0.9767156839370728,0.08368056267499924,0.9526717662811279,0.1338888704776764
0.9765406250953674,0.07493926584720612,0.9312977194786072,0.19394972920417786
0.9807422757148743,0.06230419501662254,0.9557251930236816,0.10948449373245239
0.9803921580314636,0.0669386014342308,0.9541984796524048,0.12157227098941803
0.9858193397521973,0.046465661376714706,0.9648854732513428,0.14406956732273102
0.9879201650619507,0.039218463003635406,0.970992386341095,0.08402085304260254
0.9002100825309753,0.45094406604766846,0.9267175793647766,0.17060770094394684
0.975665271282196,0.07921593636274338,0.9557251930236816,0.1068100556731224
0.9870448112487793,0.04693879559636116,0.970992386341095,0.07310634851455688
0.9908963441848755,0.03286378085613251,0.9832060933113098,0.04459301009774208
0.9933473467826843,0.024256089702248573,0.9847328066825867,0.05015657842159271
0.9963235259056091,0.018396511673927307,0.9908397197723389,0.03512601926922798
0.9723389148712158,0.10708694159984589,0.943511426448822,0.12438454478979111
0.9831932783126831,0.04854998365044594,0.9862595200538635,0.05765371397137642
0.9940476417541504,0.024253012612462044,0.9938931465148926,0.040146272629499435
0.993697464466095,0.019628683105111122,0.9984732866287231,0.021811963990330696
0.9982492923736572,0.011668875813484192,0.9969465732574463,0.016034580767154694
0.9968487620353699,0.016042813658714294,0.9954198598861694,0.02292504720389843
0.9929971694946289,0.03976145014166832,0.9633587598800659,0.09815286099910736
0.9896708726882935,0.0334308035671711,0.9877862334251404,0.03232818841934204
0.9991246461868286,0.009183970279991627,0.9984732866287231,0.011874446645379066
0.9991246461868286,0.007956607267260551,0.9969465732574463,0.014409618452191353
0.9998249411582947,0.005863940808922052,0.9984732866287231,0.009586355648934841
0.9994747638702393,0.006615679245442152,0.989313006401062,0.025858141481876373
0.9954481720924377,0.017666364088654518,0.9923664331436157,0.037854231894016266
0.9966736435890198,0.014679161831736565,0.9938931465148926,0.025243228301405907
0.9994747638702393,0.006493051070719957,0.9984732866287231,0.012288522906601429
1.0,0.0048200334422290325,1.0,0.005288030486553907
1.0,0.004378451034426689,0.9984732866287231,0.0062412298284471035
1.0,0.004094729200005531,0.9984732866287231,0.01256923284381628
1.0,0.003872217144817114,0.9984732866287231,0.01210419088602066
1.0,0.003581427736207843,0.9984732866287231,0.010983032174408436
1.0,0.0033550492953509092,0.9984732866287231,0.013267147354781628
0.8814775943756104,1.0208996534347534,0.9053435325622559,0.5475481748580933
0.968137264251709,0.11369023472070694,0.9633587598800659,0.11398472636938095
0.9872198700904846,0.04073426499962807,0.9648854732513428,0.12191928178071976
0.9893207550048828,0.0387609638273716,0.9725190997123718,0.07641298323869705
0.9854691624641418,0.05092427507042885,0.970992386341095,0.08711890131235123
