,precision,recall,f1-score,support
glioma,0.9485294117647058,0.86,0.9020979020979021,150.0
meningioma,0.8362573099415205,0.934640522875817,0.8827160493827161,153.0
notumor,0.9806763285024155,1.0,0.9902439024390244,203.0
pituitary,0.971830985915493,0.92,0.9452054794520548,150.0
accuracy,0.9344512195121951,0.9344512195121951,0.9344512195121951,0.9344512195121951
macro avg,0.9343235090310337,0.9286601307189543,0.9300658333429244,656.0
weighted avg,0.9376200042059036,0.9344512195121951,0.9347112423523949,656.0
