,precision,recall,f1-score,support
glioma,0.9347826086956522,0.86,0.8958333333333334,150.0
meningioma,0.8789808917197452,0.9019607843137255,0.8903225806451613,153.0
notumor,0.9759615384615384,1.0,0.9878345498783455,203.0
pituitary,0.9673202614379085,0.9866666666666667,0.976897689768977,150.0
accuracy,0.9420731707317073,0.9420731707317073,0.9420731707317073,0.9420731707317073
macro avg,0.9392613250787111,0.937156862745098,0.9377220384064542,656.0
weighted avg,0.941950761068365,0.9420731707317073,0.9415539968435372,656.0
