accuracy,loss,val_accuracy,val_loss
0.244047611951828,1.4637328386306763,0.30839693546295166,1.3383368253707886
0.39425769448280334,1.2283562421798706,0.45343512296676636,1.1851003170013428
0.5287114977836609,1.037453532218933,0.5343511700630188,1.08914315700531
0.6418067216873169,0.7797306180000305,0.6290076375007629,0.9580351114273071
0.6783963441848755,0.7178277969360352,0.6854962110519409,0.6807968020439148
0.7454481720924377,0.5589038133621216,0.75114506483078,0.6259221434593201
0.7893907427787781,0.48299041390419006,0.6977099180221558,0.6007279753684998
0.8109243512153625,0.44188499450683594,0.8137404322624207,0.4110180139541626
0.8482142686843872,0.36789658665657043,0.8442748188972473,0.34271979331970215
0.8723739385604858,0.3237992823123932,0.8198473453521729,0.35933899879455566
0.8940826058387756,0.2547014355659485,0.8748091459274292,0.2808270752429962
0.9152660965919495,0.21576322615146637,0.8870229125022888,0.2863430380821228
0.92507004737854,0.18560466170310974,0.9221373796463013,0.20529957115650177
0.9452030658721924,0.1413898468017578,0.9160305261611938,0.20654089748859406
0.9607843160629272,0.10961438715457916,0.9267175793647766,0.21120412647724152
0.9641106724739075,0.10366850346326828,0.9236640930175781,0.22440560162067413
0.9651610851287842,0.1128278449177742,0.9022901058197021,0.2599372863769531
0.9707633256912231,0.08599353581666946,0.9526717662811279,0.1618056297302246
0.9809173941612244,0.059212539345026016,0.9374045729637146,0.2444036602973938
0.981267511844635,0.05669034272432327,0.9358778595924377,0.2870081663131714
0.9928221106529236,0.025697220116853714,0.9465649127960205,0.2263861447572708
0.9903711676597595,0.038487792015075684,0.8900763392448425,0.409829318523407
0.9700630307197571,0.09364444017410278,0.9496183395385742,0.19848604500293732
0.9968487620353699,0.015594620257616043,0.9557251930236816,0.17067347466945648
0.9978991746902466,0.011984795331954956,0.943511426448822,0.2810913324356079
0.9583333134651184,0.15844199061393738,0.9496183395385742,0.1686646044254303
0.9942227005958557,0.024152178317308426,0.943511426448822,0.21496611833572388
0.9970238208770752,0.01697208732366562,0.9587786197662354,0.17475198209285736
