,precision,recall,f1-score,support
glioma,0.9659863945578231,0.9466666666666667,0.9562289562289562,150.0
meningioma,0.9294871794871795,0.9477124183006536,0.9385113268608414,153.0
notumor,0.9950980392156863,1.0,0.9975429975429976,203.0
pituitary,0.9798657718120806,0.9733333333333334,0.9765886287625418,150.0
accuracy,0.9695121951219512,0.9695121951219512,0.9695121951219512,0.9695121951219512
macro avg,0.9676093462681924,0.9669281045751634,0.9672179773488343,656.0
weighted avg,0.9696558923442201,0.9695121951219512,0.9695367366763139,656.0
