accuracy,loss,val_accuracy,val_loss
0.7211134433746338,0.9235424995422363,0.6916030645370483,0.6389122009277344
0.8611694574356079,0.3368520140647888,0.8992366194725037,0.2656864523887634
0.9446778893470764,0.1604802906513214,0.9267175793647766,0.20483273267745972
0.9599089622497559,0.12632538378238678,0.932824432849884,0.186620831489563
0.9628851413726807,0.11731860041618347,0.9282442927360535,0.21480004489421844
0.9740896224975586,0.08292333036661148,0.9572519063949585,0.09790469706058502
0.9809173941612244,0.06295772641897202,0.9648854732513428,0.0888376384973526
0.9802170991897583,0.0646246075630188,0.9541984796524048,0.12618255615234375
0.9854691624641418,0.04869876801967621,0.9801526665687561,0.08667047321796417
0.9889705777168274,0.037006109952926636,0.9450381398200989,0.10394061356782913
0.9807422757148743,0.05643344670534134,0.989313006401062,0.04292827844619751
0.9957982897758484,0.01966000720858574,0.9679389595985413,0.1214333102107048
0.9947478771209717,0.02020389214158058,0.970992386341095,0.071573905646801
0.9921218752861023,0.029020266607403755,0.989313006401062,0.030685193836688995
0.9924719929695129,0.025064481422305107,0.9923664331436157,0.03789477422833443
0.9991246461868286,0.008795887231826782,0.9969465732574463,0.011359335854649544
0.9940476417541504,0.037398479878902435,0.3297709822654724,5.359563827514648
0.8037465214729309,0.6995383501052856,0.7969465851783752,0.5630342364311218
0.980567216873169,0.07219264656305313,0.9847328066825867,0.0458882711827755
0.9406512379646301,0.21896927058696747,0.9664121866226196,0.10325770825147629
0.9910714030265808,0.03430426865816116,0.9755725264549255,0.06324215233325958
0.9933473467826843,0.026288649067282677,0.9923664331436157,0.025443390011787415
0.9982492923736572,0.010226624086499214,0.9969465732574463,0.018898891285061836
1.0,0.006569601129740477,0.9954198598861694,0.020560016855597496
1.0,0.005305595230311155,0.9954198598861694,0.013952934183180332
0.9998249411582947,0.00597409438341856,0.9954198598861694,0.027000369504094124
