,precision,recall,f1-score,support
abnormal,1.0,0.9933774834437086,0.9966777408637874,453.0
normal,0.9854368932038835,1.0,0.9926650366748166,203.0
accuracy,0.9954268292682927,0.9954268292682927,0.9954268292682927,0.9954268292682927
macro avg,0.9927184466019418,0.9966887417218543,0.994671388769302,656.0
weighted avg,0.9954934288420554,0.9954268292682927,0.9954360046589686,656.0
