,precision,recall,f1-score,support
glioma,0.9712230215827338,0.9,0.9342560553633218,150.0
meningioma,0.9032258064516129,0.9150326797385621,0.9090909090909091,153.0
notumor,0.9806763285024155,1.0,0.9902439024390244,203.0
pituitary,0.9548387096774194,0.9866666666666667,0.9704918032786886,150.0
accuracy,0.9542682926829268,0.9542682926829268,0.9542682926829268,0.9542682926829268
macro avg,0.9524909665535453,0.9504248366013072,0.9510206675429859,656.0
weighted avg,0.9545428395763873,0.9542682926829268,0.9539978659791656,656.0
