,precision,recall,f1-score,support
glioma,0.8658536585365854,0.9466666666666667,0.9044585987261147,150.0
meningioma,0.9027777777777778,0.8496732026143791,0.8754208754208754,153.0
notumor,1.0,0.9655172413793104,0.9824561403508771,203.0
pituitary,0.9473684210526315,0.96,0.9536423841059603,150.0
accuracy,0.9329268292682927,0.9329268292682927,0.9329268292682927,0.9329268292682927
macro avg,0.9289999643417487,0.930464277665089,0.9289944996509568,656.0
weighted avg,0.9346163291743635,0.9329268292682927,0.9330688077064532,656.0
