,precision,recall,f1-score,support
abnormal,0.9933920704845814,0.9955849889624724,0.9944873208379272,453.0
normal,0.9900990099009901,0.9852216748768473,0.9876543209876543,203.0
accuracy,0.9923780487804879,0.9923780487804879,0.9923780487804879,0.9923780487804879
macro avg,0.9917455401927857,0.9904033319196599,0.9910708209127908,656.0
weighted avg,0.9923730288710616,0.9923780487804879,0.9923728407013336,656.0
